LIST,CONDITION,TEXT,QUESTION,QUESTIONTEXT,CORRECT,ITEMID,TARGETWORD,ASSOCIATEDWORD,STORYTOPIC
D,everyday_pseudo,"""Familie Schmidt hat*heute einen Ausflug*in den nahe gelegenen*Naturpark gemacht.<br>Die beiden Kinder,*Emily und Max,*konnten vor Aufregung*kaum stillsitzen.<br>Als sie im Park*ankamen,*breiteten sie*ihre Decke auf*einer grünen Wiese aus.<br>Der Vater deutete*auf einen kleinen Punkt*im Himmel.<br>Er erklärte ihnen,*dass es*ein Latendit*sein könnte,*und sie*verfolgten ihn genau.<br>Sie überlegten,*wie lange*der Flugkörper*wohl schon*im Weltraum*unterwegs war.<br>Emily war*begeistert*und wollte unbedingt*mehr darüber erfahren.<br>Den Rest des Picknicks*verbrachte sie damit,*über den Weltraum*zu fantasieren.<br>Emily wollte nun unbedingt*Astronautin werden*und sprach*nur noch darüber.<br>Zu Hause musste*ihr Vater ihr ein Buch*über Astronauten vorlesen.""",1,"""Wusste Emily nach dem Picknick ihren Traumberuf?""",j,1_everday_pseudo,Latendit,Flugkörper,everyday
D,everyday_pseudo,"""Die kleine Annalena *saß auf dem Boden*ihres Kinderzimmers,*umgeben von Büchern.<br>Ihre Eltern hatten sie*ins Bett geschickt,*aber Annalena wollte*noch ein wenig<br>in den Büchern schmökern.*Noch konnte sie*nur wenige Wörter lesen,<br>aber zum Glück*hatten ihre Bücher*auch viele Bilder.<br>Am besten*gefiel ihr*eine Lamisse*auf der vorletzten*Seite des Buches.<br>Auf der Zeichnung*war*ein Garten*abgebildet,*der sehr detailliert*gestaltet war.<br>Das nächste Buch*handelte von Prinzessinnen.*Sie beschloss,*in ihrem Schrank*nach ihrem<br>Prinzessinnenkleid*zu suchen,*um sich zu verkleiden.*Aber gerade*als sie es gefunden hatte,<br>hörte sie*die Schritte ihrer Mutter.*Schnell löschte sie das Licht*und sprang ins Bett.<br>Ihre Mutter öffnete*die Tür einen Spalt*und schloss sie dann wieder.""",1,"""Ist Annalena nach dem Lesen gleich ins Bett gegangen?""",f,5_everday_pseudo,Lamisse,Garten,everyday
D,scientific_pseudo,"""Die Geologin Dr. Wagner*reiste diese Woche*zum ersten Mal nach Hawaii,*um im Auftrag<br>eines privaten Käufers*nach wertvollen Objekten zu suchen.*Nach der Untersuchung<br>der lokalen Formationen*und der Entnahme*von Proben*besuchte sie<br>das nahe gelegene Museum*in Honolulu,*das eine Sammlung*kultureller Wertgüter zeigte.<br>In einer*schönen Vitrine war*ein Ziahont*ausgestellt,*der besonders*groß war.<br>Interessiert*betrachteten sie*den Schliff*und machte sich*Notizen.<br>Der Fundort*war eine abgelegene Mine*in der Nähe des Dorfes.<br>Dr. Wagner wusste,*dass ihr Chef*sehr interessiert sein würde<br>und machte dem Museum*großzügige Angebote,*die aber alle*abgelehnt wurden.<br>Frustriert verließ Dr. Wagner*das Museum*und machte einen Anruf*an ihren Auftraggeber.""",1,"""Akzeptierte das Museum das Kaufangebot?""",f,13_scientific_pseudo,Ziahont,Schliff,Geologie
D,scientific_pseudo,"""Im dem Notfallraum *eines Krankenhauses*herrschte geschäftiges Treiben.<br>Ärzte und Krankenschwestern*eilten von einem Patientenzimmer*zum anderen.<br>Gegen Mitternacht*wurde ein Patient*hereingebracht,*der unter starken Schmerzen<br>zu leiden schien.*Dr. Belau übernahm die Operation*als leitender Chirurg.<br>Er erkannte*das Problem*und*griff nach*der Finnatte*auf dem Tisch*neben ihm.<br>Die Arbeit*erforderte*die Präzision*eines Experten.*Die Operation*verlief erfolgreich,<br>und der Patient*konnte schon nach kurzem*wieder entlassen werden.<br>Dr. Belau arbeitete*bis fünf Uhr morgens,*bevor er erschöpft ins Bett fiel.<br>Er wusste,*dass er sich*auf den morgigen Arbeitstag*vorbereiten musste,<br>denn das Wohlbefinden*der Patienten*hatten für ihn oberste Priorität.""",1,"""Hat Dr. Belau bis fünf Uhr morgens gearbeitet?""",j,19_scientific_pseudo,Finnatte,Präzision,Chirurgie
E,everyday_real,"""An ihrem zehnten Hochzeitstag*beschlossen Mark und Klara,*sich mit großen Geschenken<br>zu verwöhnen.*Gemeinsam gingen sie*auf eine Einkaufstour.*Ihre erste Station<br>war ein Antiquitätengeschäft,*in dem sie*für Mark*eine seltene,*alte Uhr fanden.<br>Sie kauften die Uhr*und besuchten*als Nächstes*den örtlichen Juwelier.<br>In einer*schönen*Vitrine war*ein Kristall*ausgestellt,*der*eine ganz besondere*Farbe*hatte.<br>Interessiert*betrachteten sie*den Schliff*und sprachen*über die Seltenheit.<br>Mark wollte daraus *einen Anhänger*für Klara*fertigen lassen.*Rechtzeitig zum Hochzeitstag<br>war der Anhänger fertig.*Klara gab Mark die Uhr*und er ihr den Anhänger,*und die beiden<br>schwärmten über*ihre neuen Accessoires.*Sie feierten*erst zu zweit*und wollten am nächsten Tag<br>zu Marks Eltern fahren*um das Wochenende*auf dem Land zu verbringen.""",1,"""Haben Sie mit Freunden gefeiert?""",f,14_everyday_real,Kristall,Schliff,everyday
E,everyday_real,"""An einem verregneten Sonntagnachmittag*schlüpften Jakob*und sein kleiner Sohn<br>in Gummistiefel*und Regenjacke,*um den Garten*gemeinsam zu erkunden.<br>Im Regen*kamen einige Insekten*hervor,*die sich sonst*unter der Erde*versteckten.<br>Sie sammelten Pflanzen*und kleine Käfer*und brachten sie*ins Haus.<br>Aus der Schublade*holten sie*ein Mikroskop*und stellten es*auf den Tisch.<br>Sorgfältig justierten*sie*die Schärfe*und schauten*konzentriert*auf die Details.<br>Einige der Käfer*hatten kleine Härchen*und lustige Füße,<br>die seinen Sohn*in Staunen versetzten.*Nachdem sie alle Käfer*untersucht hatten,<br>ließen sie die Käfer*wieder frei.*Jakob erklärte seinem Sohn,*dass sie nicht zu lange<br>in den Behältern*bleiben sollten,*da sie in die Freiheit gehörten.""",1,"""Haben sie im Garten Müll gesammelt?""",f,20_everyday_real,Mikroskop,Schärfe,everyday
E,scientific_real,"""Professor Harris führte*seinen Biologiekurs*über den Campus.*Er war ein Verfechter<br>des praktischen Lernens*und stolz darauf,*seine Studenten aktiv*in den Unterricht<br>einzubeziehen.*Sein Unterricht war sehr interaktiv*und er ermutigte*seine Studenten,<br>Fragen zu stellen.*Während des Rundgangs*hielt Professor Harris*schließlich an.<br>Die Studenten*hatten sich*um*eine Orchidee*versammelt*und*betrachteten sie.<br>Sie befand sich*in der Mitte*vom Garten*und wirkte*sehr anmutig.<br>Professor Harris forderte*eine Studentin auf,*den lateinischen Namen zu nennen,<br>worauf hektisches Blättern*in ihrem Lehrbuch*und eine zittrige Antwort folgten.<br>Glücklicherweise*lag sie richtig*und wurde von Professor Harris*für die Antwort gelobt.<br>Die Gruppe ging weiter*zur nächsten Anlage,*wo Bäume standen.""",1,"""Mochte Professor Harris still schweigende Studierende?""",f,6_scientific_real,Orchidee,Garten,Botanik
E,scientific_real,"""Dr. Heinz Bauer war ein Astronom*und genoss heute*eine freie Nacht<br>in seinem Labor*in den Schweizer Alpen.*Er hatte schon die ganze Woche<br>an den Berechnungen*für den theoretischen Teil*seines neuesten Projekts gearbeitet*und war nun<br>endlich fertig.*Er betrachtete*den Himmel*und kniff die Augen*zusammen.<br>Er überlegte,*ob einer der Punkte*ein Asteroid*sein könnte,*und verfolgte ihn*genauer.<br>Er notierte,*welche Ausmaße*eine Kollision*mit der Erde*annehmen könnte.<br>Dr. Bauer beschloss,*die Forschung*an dieser Stelle zu vertiefen*und weitere Daten<br>zu sammeln.*Seine freie Zeit*verbrachte er nun damit,*obsessiv zu messen<br>und seine Beobachtungen festzuhalten.*Er arbeitete*die ganze Nacht durch,*und bald<br>brach der Morgen an.*Er beschloss,*den nächsten Tag*wirklich nicht zu arbeiten.""",1,"""War Dr. Bauers Labor in den Schweizer Alpen?""",j,9_scientific_real,Asteroid,Kollision,Astronomie
E,everyday_pseudo,"""Clara, eine Kinderbuchautorin,*befand sich in einem Wettlauf*gegen die Zeit.<br>Der Abgabetermin*für ihr neuestes Buch*war heute Abend*und Clara<br>hatte noch viel*zu tun.*Sie räumte*ihren Schreibtisch auf,*und packte<br>ihren Laptop aus,*um dort weiterzuschreiben,*wo sie gestern*aufgehört hatte.<br>Sie verbrachte*den ganzen Tag*mit*der Morlaktur*und arbeitete*sehr sorgfältig.<br>Sie bemerkte*erschrocken*einen Fehler*ganz am Ende.*Als die Sonne*langsam unterging,<br>sandte Clara*das finale Manuskript*endlich ab.*Sie seufzte erleichtert auf.<br>Sie war froh,*ihr Projekt*endlich beendet zu haben*und war stolz*auf ihre Arbeit.<br>Sie rief ihre Eltern an*und erzählte ihnen*von ihrem Erfolg.<br>Dann kuschelte sie sich*ins Bett und schlief*schon nach einigen Minuten ein.""",1,"""Schrieb Clara an einem Kinderbuch?""",j,3_everday_pseudo,Morlaktur,Fehler,everyday
E,everyday_pseudo,"""Anna machte gerade eine kurze Pause *von der Gartenarbeit,*als ihr Nachbar,<br>Herr Pfeifer,*vorbeispazierte und sich*zu ihr setzte.*Sie verstanden sich sehr gut.<br>Sie kamen ins Gespräch*über den Teich,*den Anna*vor Kurzem anlegen hat lassen<br>und sie beobachteten*entspannt*die Natur um den Teich herum.<br>Herr Pfeifer*stellte fest,*dass*die Zodelle*besonders*schön und elegant*war.<br> Ihm gefielen*vor allem*die Flügel*die anmutig*in der Sonne*schimmerten.<br>Anna stimmte ihm*freudig zu,*und war froh,*dass sich die Anlage*so lohnte.<br>Als nächstes*überlegte sie,*ein paar Fische zu kaufen,*die in dem Teich<br>leben könnten.*Herr Pfeifer,*der lange Fische gehalten hat,*konnte sie<br>hierzu beraten.*Er empfahl ihr,*eine sehr resistente Fischart zu kaufen.""",1,"""Überlegte Anna Enten für den Teich zu kaufen?""",f,11_everday_pseudo,Zodelle,Flügel,everyday
E,scientific_pseudo,"""Die Archäologen*Dr. Rebekka Dawson und Dr. Samuel Turner*waren auf die Erforschung<br>vergangener Kulturen spezialisiert.*Sie standen*vor einer neu entdeckten<br>archäologischen Ausgrabungsstätte*tief im Dschungel Südamerikas.<br>Bei der Erkundung der Stätte*fand Dr. Dawson*eine relativ*gut erhaltene*Skulptur.<br>Der Sockel*der Skulptur war*aus Fornellyn*und bemalt*mit dekorativen Blumen.<br> Das Objekt*erinnerte sie an*das Geschirr*ihrer Tante,*die Sammlerin war.<br>Die Archäologin*zeigte ihrem Partner*den Fund*und deutete*auf die fiiligrane Arbeit.<br>Die Skulptur war*teilweise zerbrochen,*aber die*erkennbaren kunstvollen Details<br>zeugten von einem bemerkenswerten*handwerklichen Können.*Die beiden Archäologen<br>widmeten sich*der sorgfältigen Bergung*und Dokumentation*dieses wertvollen Fundes.""",1,"""Waren sie im Dschungel in Südamerika?""",j,17_scientific_pseudo,Fornellyn,Geschirr,ArchäologieMaterialwissenschaft
E,scientific_pseudo,"""Lilli konnte*kaum noch laufen*vor Schmerzen*und rang nach Luft.*Sie hatte<br>schreckliche Schmerzen*und hoffte verzweifelt auf Hilfe.*Sie quälte sich<br>in die nächste Apotheke,*wo der Apotheker*zu ihr eilte*und sich nach ihren Symptomen<br>erkundigte.*Lili erklärte dem Apotheker*unter Tränen,*wo sie Schmerzen hatte.<br>Er kramte*in der Schublade*nach*einer Lapratte*und wurde*auch gleich fündig.<br> Er gab*ihr für*die Einnahme*ein Glas Wasser.<br>Er half ihr,*sich in den Hinterraum*zu legen,*während er*den Krankenwagen rief.<br>Lilli musste*im Krankenhaus*notoperiert werden,*weil eine Zyste*explodiert war.<br>Die schnelle Reaktion*des Apothekers*rettete ihr Leben.<br>Drei Wochen später*kam Lilli gesund*und mit Blumen*in die Apotheke.""",1,"""War in Lillis Körper eine Zyste geplatzt?""",j,23_scientific_pseudo,Lapratte,Einnahme,Pharmazie
F,everyday_real,"""Frau Hilder hat heute*mit der 7. Klasse*einen Ausflug gemacht.<br>Vor ihnen lagen*viele Attraktionen,*darunter ein malerischer Teich*mit vielen Fischen<br>und ein Schmetterlingshaus.*In der Mittagspause*verlor Frau Hilder eine Gruppe<br>von Schülern*aus den Augen.*Sie suchte sie besorgt*und fand sie*zum Glück wieder.<br>Die Schüler*hatten sich*um*eine Orchidee*versammelt*und betrachteten sie.<br>Sie befand sich*in der Mitte*vom Garten*und wirkte*sehr anmutig.<br>Frau Hilder ermahnte*die Schüler,*die Umgebung nicht mehr allein*zu erkunden,<br>war aber vor allem erleichtert,*die Schüler*wieder gefunden zu haben.<br>Der Ausflug endete*mit einem kleinen Quiz*über die Schmetterlinge,*die sie gesehen hatten.<br>Auf der Rückfahrt sprachen*die Kinder*immer noch über die Schmetterlinge.""",1,"""Beendeten sie die Exkursion mit einem Teichquiz?""",f,6_everyday_real,Orchidee,Garten,everyday
F,everyday_real,"""An einem Sommerabend*lagen Jennifer und ihr Vater*auf dem Rücken im Garten<br>und betrachteten*den funkelnden Sternenhimmel.*Ihr Vater zeigte auf den hellen Mond<br>und erklärte ihr,*dass der Mond von der Sonne*angestrahlt wird*und deshalb<br>so hell leuchtete.*Ihr Vater beobachtete*den Himmel ganz genau.<br>Er überlegte,*ob einer der Punkte*ein Asteroid*sein könnte,*und verfolgte ihn*genauer.<br>Sie diskutierten,*welche Ausmaße*eine Kollision*mit der Erde*annehmen könnte.<br>Am nächsten Abend*wollte Jennifer wieder*mit ihrem Vater*in den Sternenhimmel schauen.<br>Gerührt von der Begeisterung seiner Tochter,* beschloss er,*ein preiswertes Hobbyteleskop<br>zu kaufen,*um seiner Tochter so viel wie möglich*zeigen zu können.<br>Er las mit ihr sogar*ein Buch über*einfach zu erkennende Konstellationen.""",1,"""Kaufte Jennifers Vater ein billiges Hobbyteleskop?""",j,9_everyday_real,Asteroid,Kollision,everyday
F,scientific_real,"""Dr. Fischer und Dr. Weber* zwei angesehene Archäologen,*reisten nach Ägypten,<br>um an einer Ausgrabung*in der Nähe von Luxor*teilzunehmen.*Ihr Ansehen als Experten<br>für die Antike*hatte sie*zu begehrten Forschungspartnern gemacht.*Sie besuchten <br>das nahegelegene Museum,*das interessante Relikte*aus der Pharaonenzeit*beherbergte.<br> In einer*schönen*Vitrine war*ein Kristall*ausgestellt,*der*eine ganz besondere*Farbe*hatte.<br>Interessiert*betrachteten sie*den Schliff*und sprachen*über die Seltenheit.<br>Der Fundort war*ein großes Bergwerk*in der Nähe des Dorfes.*Sie machten dem Museum<br>den Vorschlag,*das Stück für eine große Ausstellung*an das Berliner Museum*zu verleihen,<br>wofür das Stück*in einem Transporter*nach Deutschland*gebracht werden musste.<br>Der Museumsbesitzer war damit*leider nicht einverstanden,*und lehnte ihr Angebot ab.""",1,"""Fanden die Ausgrabungen in Berlin statt?""",f,14_scientific_real,Kristall,Schliff,Geologie
F,scientific_real,"""Im Berliner Labor*für Seuchenbekämpfung*standen Wissenschaftler und Forscher<br>um die Labortische.*Sie diskutierten über Bakterienproben,*um die Ausbreitung<br>einer bedrohlichen Krankheit*einzudämmen.*Dr. Recht,*ein renommierter Epidemiologe,<br>hatte aus seinem Labor*in Köln*eine wichtige Probe*mitgebracht.<br>Aus der Schublade*holten sie*ein Mikroskop*und stellten es*auf den Tisch.<br>Sorgfältig justierten*sie*die Schärfe*und schauten*konzentriert*auf die Details.<br>Leider*stellten sie fest,*dass das Schlimmste*eingetreten war.*Das Bakterium hatte<br>eine unbekannte Mutation entwickelt,*die eine Ausbreitung*der Krankheit*begünstigte.<br>In Panik*machten sich*die Wissenschaftler*sofort an die Arbeit,*um die Auswirkungen<br>dieser Mutation*zu verstehen*und Gegenmaßnahmen zu entwickeln.""",1,"""Haben die Ergebnisse die Wissenschaftlern besorgt?""",j,20_scientific_real,Mikroskop,Schärfe,Epidemologie
F,everyday_pseudo,"""Am Sonntag lud Oma Gisela*ihre Enkelkinder Sophie und Ben*zum Mittagessen ein.<br>Die beiden Geschwister*wurden von verführerischen Düften*aus der Küche empfangen.<br>Giselas Esszimmer*war mit Kunstwerken geschmückt.*Am Rand des Raumes*stand<br>eine majestätische Skulptur,*die Sophie*sehr gut gefiel.<br>Der Sockel*der Skulptur war*aus Fornellyn*und bemalt*mit dekorativen Blumen.<br> Das Objekt*erinnerte sie an*das Geschirr*ihrer Tante,*die Sammlerin war.<br>Zu essen*gab es Braten,*der stundenlang*von Oma Gisela*vorbereitet worden war.<br>Während des leckeren Essens*erzählten die Kinder*von ihren Erlebnissen<br>der vergangenen Woche.*Sophie erzählte*von ihrem Klassenausflug*in den Zoo<br>und Ben berichtete stolz*von seinen Erfolgen*in der Fußballmannschaft.""",1,"""War Sophie mit der Klasse im Zoo gewesen?""",j,17_everday_pseudo,Fornellyn,Geschirr,everyday
F,everyday_pseudo,"""Lilli wachte um vier Uhr morgens*mit Kopfschmerzen auf*und stöhnte genervt.<br>Sie fühlte sich schwach,*weshalb sie ihren Partner Eric*aufweckte.<br>Der legte seine Hand*auf ihre Stirn,*um zu überprüfen,*ob sie Fieber hatte.<br>Eric ging ins Badezimmer*und öffnete*die Schublade*des Badezimmerschranks.<br>Er kramte*in der Schublade*nach*einer Lapratte*und wurde*auch gleich fündig.<br> Er gab*ihr für*die Einnahme*ein Glas Wasser.*Als sie*am nächsten Mittag*aufwachte,<br>fühlte sie sich*schon etwas besser.*Eric hatte in der Küche<br>Hühnerbrühe gekocht*und brachte ihr*eine wohlriechende,*noch dampfende Schüssel*ans Bett.<br>Lilli lächelte*und freute sich,*dass sie*so gut versorgt wurde.<br>Ihr ging es*schon viel besser*und sie war dankbar für Eric.""",1,"""Kochte Eric für Lilli eine Hühnerbrühe?""",j,23_everday_pseudo,Lapratte,Einnahme,everyday
F,scientific_pseudo,"""Dr. Peters betrat ihr Labor*noch bevor die Sonne aufging.*Sie arbeite gerade<br>an der letzten Phase ihres Projekts*und war gestresst.*Sie öffnete*die Auswertung<br>als der Monitor*plötzlich seltsame Abweichungen*in den Graphen anzeigte.<br>Panik machte sich*in ihr breit,*doch sie wusste,*dass sie keine Zeit*verlieren durfte.<br>Sie verbrachte*den ganzen Tag*mit*der Morlaktur*und arbeitete*sehr sorgfältig.<br>Sie bemerkte*einen Fehler*ganz am Ende.*Die Daten*stimmten endlich.<br>Sie arbeitete*noch zwei Stunden*an der Interpretation der Daten.<br>Erschöpft, aber zufrieden*mit ihrer Arbeit,*verließ sie das Labor.<br>Die Nacht war*schon angebrochen*und sie konnte es kaum erwarten<br>zuhause zu sein.*Ihr Mann war zum Glück gekommen,*um sie abzuholen.""",1,"""Arbeitete Dr. Peters an diesem Tag nur wenig?""",f,3_scientific_pseudo,Morlaktur,Fehler,Datenwissenschaft
F,scientific_pseudo,"""Zwei Experten auf dem Gebiet*der Muskelphysiologie,*Professor Müller<br>und sein Kollege Dr. Schneider,*trafen sich in einem Forschungslabor,<br>um ihre neuesten Erkenntnisse*zu diskutieren.*Während sie*einige Studien*durchgingen,<br>kamen sie auf die*ihrer Meinung nach*beeindruckendsten Muskelstrukturen*zu sprechen.<br>Professor Müller*stellte fest,*dass*die Zodelle*besonders*schön und elegant*war.<br> Ihm gefielen*vor allem*die Flügel*die anmutig*in der Sonne*schimmerten.<br>Dr. Schneider*nickte und schwärmte davon,*wie ihre Muskeln*nicht nur*für den Flug,*sondern auch<br>für andere wichtige Funktionen*wie Nahrungsaufnahme*und Fortbewegung<br>entscheidend sind.*Diese Anpassungen seien*ein erstaunliches Schauspiel.<br>Die beiden verbrachten*den ganzen restlichen Tag*mit ihren Diskussionen.""",1,"""Haben die beiden über Fortpflanzungsmethoden gesprochen?""",f,11_scientific_pseudo,Zodelle,Flügel,Biologie
G,everyday_real,"""Clara, eine Kinderbuchautorin,*befand sich in einem Wettlauf*gegen die Zeit.<br>Der Abgabetermin*für ihr neuestes Buch*war heute Abend*und Clara<br>hatte noch viel*zu tun.*Sie räumte*ihren Schreibtisch auf,*und packte<br>ihren Laptop aus,*um dort weiterzuschreiben,*wo sie gestern*aufgehört hatte.<br>Sie verbrachte*den ganzen Tag*mit*der Korrektur*und arbeitete*sehr sorgfältig.<br>Sie bemerkte*erschrocken*einen Fehler*ganz am Ende.*Als die Sonne*langsam unterging,<br>sandte Clara*das finale Manuskript*endlich ab.*Sie seufzte erleichtert auf.<br>Sie war froh,*ihr Projekt*endlich beendet zu haben*und war stolz*auf ihre Arbeit.<br>Sie rief ihre Eltern an*und erzählte ihnen*von ihrem Erfolg.<br>Dann kuschelte sie sich*ins Bett und schlief*schon nach einigen Minuten ein.""",1,"""Schrieb Clara einen wissenschaftlichen Artikel?""",f,3_everyday_real,Korrektur,Fehler,everyday
G,everyday_real,"""Anna machte gerade eine kurze Pause *von der Gartenarbeit,*als ihr Nachbar,<br>Herr Pfeifer,*vorbeispazierte und sich*zu ihr setzte.*Sie verstanden sich sehr gut.<br>Sie kamen ins Gespräch*über den Teich,*den Anna*vor Kurzem anlegen hat lassen<br>und sie beobachteten*entspannt*die Natur um den Teich herum.<br>Herr Pfeifer*stellte fest,*dass*die Libelle*besonders*schön und elegant*war.<br> Ihm gefielen*vor allem*die Flügel*die anmutig*in der Sonne*schimmerten.<br>Anna stimmte ihm*freudig zu,*und war froh,*dass sich die Anlage*so lohnte.<br>Als nächstes*überlegte sie,*ein paar Fische zu kaufen,*die in dem Teich<br>leben könnten.*Herr Pfeifer,*der lange Fische gehalten hat,*konnte sie<br>hierzu beraten.*Er empfahl ihr,*eine sehr resistente Fischart zu kaufen.""",1,"""Überlegte Anna Enten für den Teich zu kaufen?""",f,11_everyday_real,Libelle,Flügel,everyday
G,scientific_real,"""Die Archäologen*Dr. Rebekka Dawson und Dr. Samuel Turner*waren auf die Erforschung<br>vergangener Kulturen spezialisiert.*Sie standen*vor einer neu entdeckten<br>archäologischen Ausgrabungsstätte*tief im Dschungel Südamerikas.<br>Bei der Erkundung der Stätte*fand Dr. Dawson*eine relativ*gut erhaltene*Skulptur.<br>Der Sockel*der Skulptur war*aus Porzellan*und bemalt*mit dekorativen Blumen.<br> Das Objekt*erinnerte sie an*das Geschirr*ihrer Tante,*die Sammlerin war.<br>Die Archäologin*zeigte ihrem Partner*den Fund*und deutete*auf die fiiligrane Arbeit.<br>Die Skulptur war*teilweise zerbrochen,*aber die*erkennbaren kunstvollen Details<br>zeugten von einem bemerkenswerten*handwerklichen Können.*Die beiden Archäologen<br>widmeten sich*der sorgfältigen Bergung*und Dokumentation*dieses wertvollen Fundes.""",1,"""Waren sie im Dschungel in Südamerika?""",j,17_scientific_real,Porzellan,Geschirr,ArchäologieMaterialwissenschaft
G,scientific_real,"""Lilli konnte*kaum noch laufen*vor Schmerzen*und rang nach Luft.*Sie hatte<br>schreckliche Schmerzen*und hoffte verzweifelt auf Hilfe.*Sie quälte sich<br>in die nächste Apotheke,*wo der Apotheker*zu ihr eilte*und sich nach ihren Symptomen<br>erkundigte.*Lili erklärte dem Apotheker*unter Tränen,*wo sie Schmerzen hatte.<br>Er kramte*in der Schublade*nach*einer Tablette*und wurde*auch gleich fündig.<br> Er gab*ihr für*die Einnahme*ein Glas Wasser.<br>Er half ihr,*sich in den Hinterraum*zu legen,*während er*den Krankenwagen rief.<br>Lilli musste*im Krankenhaus*notoperiert werden,*weil eine Zyste*explodiert war.<br>Die schnelle Reaktion*des Apothekers*rettete ihr Leben.<br>Drei Wochen später*kam Lilli gesund*und mit Blumen*in die Apotheke.""",1,"""War in Lillis Körper eine Zyste geplatzt?""",j,23_scientific_real,Tablette,Einnahme,Pharmazie
G,everyday_pseudo,"""An ihrem zehnten Hochzeitstag*beschlossen Mark und Klara,*sich mit großen Geschenken<br>zu verwöhnen.*Gemeinsam gingen sie*auf eine Einkaufstour.*Ihre erste Station<br>war ein Antiquitätengeschäft,*in dem sie*für Mark*eine seltene,*alte Uhr fanden.<br>Sie kauften die Uhr*und besuchten*als Nächstes*den örtlichen Juwelier.<br>In einer*schönen*Vitrine war*ein Plästall*ausgestellt,*der*eine ganz besondere*Farbe*hatte.<br>Interessiert*betrachteten sie*den Schliff*und sprachen*über die Seltenheit.<br>Mark wollte daraus *einen Anhänger*für Klara*fertigen lassen.*Rechtzeitig zum Hochzeitstag<br>war der Anhänger fertig.*Klara gab Mark die Uhr*und er ihr den Anhänger,*und die beiden<br>schwärmten über*ihre neuen Accessoires.*Sie feierten*erst zu zweit*und wollten am nächsten Tag<br>zu Marks Eltern fahren*um das Wochenende*auf dem Land zu verbringen.""",1,"""Haben Sie mit Freunden gefeiert?""",f,14_everday_pseudo,Plästall,Schliff,everyday
G,everyday_pseudo,"""An einem verregneten Sonntagnachmittag*schlüpften Jakob*und sein kleiner Sohn<br>in Gummistiefel*und Regenjacke,*um den Garten*gemeinsam zu erkunden.<br>Im Regen*kamen einige Insekten*hervor,*die sich sonst*unter der Erde*versteckten.<br>Sie sammelten Pflanzen*und kleine Käfer*und brachten sie*ins Haus.<br>Aus der Schublade*holten sie*ein Mifrophox*und stellten es*auf den Tisch.<br>Sorgfältig justierten*sie*die Schärfe*und schauten*konzentriert*auf die Details.<br>Einige der Käfer*hatten kleine Härchen*und lustige Füße,<br>die seinen Sohn*in Staunen versetzten.*Nachdem sie alle Käfer*untersucht hatten,<br>ließen sie die Käfer*wieder frei.*Jakob erklärte seinem Sohn,*dass sie nicht zu lange<br>in den Behältern*bleiben sollten,*da sie in die Freiheit gehörten.""",1,"""Haben sie im Garten Pflanzen gesammelt?""",j,20_everday_pseudo,Mifrophox,Schärfe,everyday
G,scientific_pseudo,"""Professor Harris führte*seinen Biologiekurs*über den Campus.*Er war ein Verfechter<br>des praktischen Lernens*und stolz darauf,*seine Studenten aktiv*in den Unterricht<br>einzubeziehen.*Sein Unterricht war sehr interaktiv*und er ermutigte*seine Studenten,<br>Fragen zu stellen.*Während des Rundgangs*hielt Professor Harris*schließlich an.<br>Die Studenten*hatten sich*um*eine Exglinie*versammelt*und*betrachteten sie.<br>Sie befand sich*in der Mitte*vom Garten*und wirkte*sehr anmutig.<br>Professor Harris forderte*eine Studentin auf,*den lateinischen Namen zu nennen,<br>worauf hektisches Blättern*in ihrem Lehrbuch*und eine zittrige Antwort folgten.<br>Glücklicherweise*lag sie richtig*und wurde von Professor Harris*für die Antwort gelobt.<br>Die Gruppe ging weiter*zur nächsten Anlage,*wo Bäume standen.""",1,"""Mochte Professor Harris still schweigende Studierende?""",f,6_scientific_pseudo,Exglinie,Garten,Botanik
G,scientific_pseudo,"""Dr. Heinz Bauer war ein Astronom*und genoss heute*eine freie Nacht<br>in seinem Labor*in den Schweizer Alpen.*Er hatte schon die ganze Woche<br>an den Berechnungen*für den theoretischen Teil*seines neuesten Projekts gearbeitet*und war nun<br>endlich fertig.*Er betrachtete*den Himmel*und kniff die Augen*zusammen.<br>Er überlegte,*ob einer der Punkte*ein Exdetoik*sein könnte,*und verfolgte ihn*genauer.<br>Er notierte,*welche Ausmaße*eine Kollision*mit der Erde*annehmen könnte.<br>Dr. Bauer beschloss,*die Forschung*an dieser Stelle zu vertiefen*und weitere Daten<br>zu sammeln.*Seine freie Zeit*verbrachte er nun damit,*obsessiv zu messen<br>und seine Beobachtungen festzuhalten.*Er arbeitete*die ganze Nacht durch,*und bald<br>brach der Morgen an.*Er beschloss,*den nächsten Tag*wirklich nicht zu arbeiten.""",1,"""War Dr. Bauers Labor in den Schweizer Alpen?""",j,9_scientific_pseudo,Exdetoik,Kollision,Astronomie
